time,source,destination,vlan_prio
0.000000,10.123.123.1,10.0.0.2,0
0.000999,10.123.123.1,10.0.0.3,0
0.001952,10.123.123.1,10.0.0.4,0
0.003371,10.123.123.1,10.0.0.5,0
0.366499,10.0.0.5,10.0.0.1,0
0.366574,10.0.0.1,10.0.0.5,0
0.373258,10.0.0.5,10.0.0.1,0
0.374528,10.0.0.5,10.0.0.1,0
0.374602,10.0.0.1,10.0.0.5,0
0.374681,10.0.0.1,10.0.0.5,0
0.376529,10.0.0.5,10.0.0.1,0
0.377192,10.0.0.5,10.0.0.1,0
0.421626,10.0.0.1,10.0.0.5,0
0.421975,10.0.0.5,10.0.0.1,0
0.422007,10.0.0.1,10.0.0.5,0
0.422312,10.0.0.1,10.0.0.5,0
0.424770,10.0.0.5,10.0.0.1,0
0.425024,10.0.0.1,10.0.0.5,0
0.465631,10.0.0.5,10.0.0.1,0
0.465677,10.0.0.1,10.0.0.5,0
0.465723,10.0.0.5,10.0.0.1,0
0.466090,10.0.0.5,10.0.0.1,0
0.466624,10.0.0.5,10.0.0.1,0
0.466822,10.0.0.5,10.0.0.1,0
0.466965,10.0.0.5,10.0.0.1,0
0.467144,10.0.0.5,10.0.0.1,0
0.467292,10.0.0.5,10.0.0.1,0
0.467854,10.0.0.5,10.0.0.1,0
0.468019,10.0.0.5,10.0.0.1,0
0.468141,10.0.0.5,10.0.0.1,0
0.468261,10.0.0.5,10.0.0.1,0
0.468420,10.0.0.5,10.0.0.1,0
0.468541,10.0.0.5,10.0.0.1,0
0.468662,10.0.0.5,10.0.0.1,0
0.468825,10.0.0.5,10.0.0.1,0
0.468947,10.0.0.5,10.0.0.1,0
0.469117,10.0.0.5,10.0.0.1,0
0.469238,10.0.0.5,10.0.0.1,0
0.469649,10.0.0.5,10.0.0.1,0
0.469846,10.0.0.5,10.0.0.1,0
0.469968,10.0.0.5,10.0.0.1,0
0.470088,10.0.0.5,10.0.0.1,0
0.470211,10.0.0.5,10.0.0.1,0
0.470391,10.0.0.5,10.0.0.1,0
0.470512,10.0.0.5,10.0.0.1,0
0.470632,10.0.0.5,10.0.0.1,0
0.470796,10.0.0.5,10.0.0.1,0
0.470918,10.0.0.5,10.0.0.1,0
0.471075,10.0.0.5,10.0.0.1,0
0.471198,10.0.0.5,10.0.0.1,0
0.471319,10.0.0.5,10.0.0.1,0
0.471440,10.0.0.5,10.0.0.1,0
0.471595,10.0.0.5,10.0.0.1,0
0.471718,10.0.0.5,10.0.0.1,0
0.471842,10.0.0.5,10.0.0.1,0
0.471963,10.0.0.5,10.0.0.1,0
0.472081,10.0.0.5,10.0.0.1,0
0.472209,10.0.0.5,10.0.0.1,0
0.472347,10.0.0.5,10.0.0.1,0
0.472473,10.0.0.5,10.0.0.1,0
0.472596,10.0.0.5,10.0.0.1,0
0.472914,10.0.0.5,10.0.0.1,0
0.473098,10.0.0.5,10.0.0.1,0
0.473883,10.0.0.5,10.0.0.1,0
0.475727,10.0.0.5,10.0.0.1,0
0.475928,10.0.0.5,10.0.0.1,0
0.476242,10.0.0.5,10.0.0.1,0
0.476393,10.0.0.5,10.0.0.1,0
0.476777,10.0.0.5,10.0.0.1,0
0.476943,10.0.0.5,10.0.0.1,0
0.477065,10.0.0.5,10.0.0.1,0
0.477199,10.0.0.5,10.0.0.1,0
0.477740,10.0.0.5,10.0.0.1,0
0.477911,10.0.0.5,10.0.0.1,0
0.478035,10.0.0.5,10.0.0.1,0
0.478188,10.0.0.5,10.0.0.1,0
0.478504,10.0.0.5,10.0.0.1,0
0.478931,10.0.0.5,10.0.0.1,0
0.479080,10.0.0.5,10.0.0.1,0
0.479211,10.0.0.5,10.0.0.1,0
0.479346,10.0.0.5,10.0.0.1,0
0.479566,10.0.0.5,10.0.0.1,0
0.479782,10.0.0.5,10.0.0.1,0
0.480995,10.0.0.5,10.0.0.1,0
0.483047,10.0.0.4,10.0.0.1,4
0.483193,10.0.0.4,10.0.0.1,4
0.483326,10.0.0.4,10.0.0.1,4
0.483446,10.0.0.4,10.0.0.1,4
0.483585,10.0.0.4,10.0.0.1,4
0.483721,10.0.0.4,10.0.0.1,4
0.483875,10.0.0.4,10.0.0.1,4
0.484705,10.0.0.4,10.0.0.1,4
0.485008,10.0.0.4,10.0.0.1,4
0.486872,10.0.0.5,10.0.0.1,0
0.487014,10.0.0.5,10.0.0.1,0
0.487141,10.0.0.5,10.0.0.1,0
0.487333,10.0.0.5,10.0.0.1,0
0.487497,10.0.0.5,10.0.0.1,0
0.487669,10.0.0.5,10.0.0.1,0
0.487890,10.0.0.5,10.0.0.1,0
0.488160,10.0.0.5,10.0.0.1,0
0.488392,10.0.0.5,10.0.0.1,0
0.491362,10.0.0.5,10.0.0.1,0
0.491496,10.0.0.5,10.0.0.1,0
0.491765,10.0.0.5,10.0.0.1,0
0.491935,10.0.0.5,10.0.0.1,0
0.492198,10.0.0.5,10.0.0.1,0
0.492380,10.0.0.5,10.0.0.1,0
0.493791,10.0.0.5,10.0.0.1,0
0.493920,10.0.0.5,10.0.0.1,0
0.494055,10.0.0.5,10.0.0.1,0
0.494183,10.0.0.5,10.0.0.1,0
